Temperature,Humidity,Wind Speed,Weather
11,68,4,Rainy
26,23,15,Sunny
28,72,4,Sunny
24,85,5,Cloudy
19,62,8,Sunny
22,61,3,Rainy
35,55,6,Cloudy
24,75,17,Rainy
28,42,14,Sunny
23,90,4,Sunny
26,48,17,Sunny
16,62,14,Sunny
39,20,12,Rainy
39,99,4,Rainy
36,89,9,Rainy
13,22,16,Sunny
22,76,1,Cloudy
33,41,14,Rainy
24,66,4,Sunny
12,40,7,Sunny
33,96,16,Rainy
30,76,4,Sunny
11,80,13,Sunny
37,58,17,Cloudy
35,63,16,Sunny
28,59,3,Cloudy
20,54,15,Sunny
30,20,18,Cloudy
12,88,15,Rainy
33,60,17,Sunny
39,78,5,Cloudy
21,46,4,Sunny
39,28,19,Cloudy
17,65,15,Sunny
14,72,5,Cloudy
10,59,15,Sunny
33,83,18,Rainy
11,56,4,Rainy
33,69,15,Cloudy
13,32,11,Rainy
17,91,11,Sunny
16,73,15,Rainy
19,82,9,Cloudy
25,93,17,Cloudy
37,69,0,Cloudy
25,64,3,Rainy
10,31,0,Cloudy
24,89,16,Sunny
11,66,13,Cloudy
38,68,5,Sunny
29,34,14,Cloudy
38,83,13,Cloudy
28,78,12,Sunny
35,92,4,Rainy
26,63,17,Sunny
25,79,6,Sunny
26,45,19,Sunny
25,87,17,Rainy
22,26,7,Rainy
15,64,17,Cloudy
30,67,19,Sunny
34,62,2,Rainy
15,24,1,Rainy
35,22,13,Sunny
21,60,10,Cloudy
37,65,16,Cloudy
36,52,8,Sunny
31,50,5,Sunny
38,60,7,Cloudy
19,91,6,Cloudy
19,27,14,Sunny
21,35,8,Cloudy
30,88,15,Cloudy
27,43,16,Sunny
13,43,5,Sunny
19,49,6,Sunny
16,23,6,Cloudy
17,78,5,Rainy
18,76,1,Cloudy
25,79,19,Sunny
23,66,14,Rainy
15,58,9,Cloudy
27,24,0,Rainy
39,88,14,Cloudy
28,95,3,Rainy
30,27,3,Sunny
32,20,5,Rainy
38,40,13,Rainy
26,89,10,Sunny
39,77,0,Cloudy
20,59,8,Rainy
38,71,7,Cloudy
29,22,7,Rainy
36,85,15,Cloudy
29,78,13,Cloudy
38,58,9,Cloudy
14,28,18,Rainy
12,53,9,Cloudy
17,51,19,Rainy
32,64,15,Rainy
34,56,14,Sunny
35,45,7,Sunny
19,73,11,Sunny
38,87,16,Cloudy
19,79,4,Sunny
38,67,14,Cloudy
10,70,2,Sunny
19,22,16,Cloudy
17,21,7,Cloudy
27,39,8,Cloudy
